_id,mongoId,avettaId,mongoObject,field,formDisplayId,questionGroupType,uk_ua
68a4d3e90100003600aba27b,68a4c19c010000d501aba152,47192,questionGroup,questionGroupText,47192,form,Avetta PQF - Інформація про компанію в Україні
68a4c22c0100003e000ab00b,,179012,question,description,47192,form,"[Цивільний кодекс України, стаття 81. Види юридичних осіб № 3262-VI](https://zakon.rada.gov.ua/laws/show/435-15#Text)"
68a4c22c0100003e000ab00b,,179012,question,questionText,47192,form,"Будь ласка, вкажіть організаційно-правову форму / форму ведення бізнесу вашої компанії в Україні."
68a4c22c0100003e000ab00b,,179012,question,responseOption1,47192,form,Товариство з обмеженою відповідальністю (ТОВ)
68a4c22c0100003e000ab00b,,179012,question,responseOption2,47192,form,Інше
68a4c22c0100003e000ab00b,,179012,question,responseOption3,47192,form,Представництво
68a4c22c0100003e000ab00b,,179012,question,responseOption4,47192,form,Акціонерне товариство (АТ)
68a4c22c0100003e000ab00b,,179012,question,responseOption5,47192,form,Фізична особа-підприємець (ФОП)
68a4c5500100004100aba18a,,179013,question,questionText,47192,form,"Якщо інше, будь ласка, поясніть."
68a4c5620100003f00aba18c,,179014,question,description,47192,form,"ЄДРПОУ — 8-значний числовий код, унікально присвоєний кожній юридичній особі, зареєстрованій в Україні. [Єдиний державний реєстр підприємств та організацій України (ЄДРПОУ)](https://www.lv.ukrstat.gov.ua/eng/edrpoy.php). Ви можете знайти свій ЄДРПОУ на [Порталі Міністерства юстиції України](https://usr.minjust.gov.ua/ua/freesearch).\n<br/>\n\nРНОКПП (реєстраційний номер облікової картки платника податків) — унікальний код, присвоєний для цілей податкової звітності. Для більшості юридичних осіб РНОКПП збігається з ЄДРПОУ. Для ФОП це окремий 10- або 12-значний код, присвоєний [Державною податковою службою](https://www.oecd.org/content/dam/oecd/en/topics/policy-issue-focus/aeoi/ukraine-tin.pdf). Його можна перевірити на [Порталі Єдиного державного реєстру](https://usr.minjust.gov.ua/ua/freesearch).\n\n<br/>
Код виду економічної діяльності (КВЕД) — офіційний код господарської діяльності відповідно до системи «Класифікатор видів економічної діяльності (КВЕД)». Коди наведені в [Єдиному державному реєстрі](https://stat.gov.ua/en/codelists) та можуть бути перевірені через довідник КВЕД Державної служби статистики або витяг з реєстру компанії.\n<br/>\nВитяг з ЄДР — офіційна завірена довідка з Єдиного державного реєстру, що містить актуальні дані про юридичну особу. Витяг з ЄДР отримується безпосередньо через портал Єдиного державного реєстру Міністерства юстиції або через державний сервіс [“Дія”](https://diia.gov.ua/).

<br/>

Номер реєстрації платника ПДВ — унікальний реєстраційний номер, що підтверджує статус компанії як платника ПДВ. Номер ПДВ компанії можна перевірити в [публічному реєстрі платників ПДВ Державної податкової служби України](https://cabinet.tax.gov.ua/registers).\n\n<br/>\n\n[Свідоцтво про реєстрацію платника ПДВ](https://tax.gov.ua/en/new-about-taxes--news-/858814.html) — офіційний документ/сертифікат, виданий Державною податковою службою, що засвідчує реєстрацію компанії як платника ПДВ.\n\n\n"
