_id,mongoId,avettaId,mongoObject,field,formDisplayId,questionGroupType,en
5df3b1b1370000fe2dc8eabb,501ba16c50494325fb47f318,2810,questionGroup,questionGroupText,20205,form,Republic of South Africa
5140c741504943de2f73ab9f,5140c741504943de2f73ab9f,3593,questionGroup,questionGroupText,20205,form,Republic of South Africa Specific Updates
5140c818504943c6ebc4f97e,,16281,question,questionText,20205,form,What is the total number of employees for the given year? Approximate if necessary.
5140c855504943841c35a2a4,,16282,question,questionText,20205,form,Were there recordable incidents for the given year?
5140c855504943841c35a2a4,,16282,question,responseOptionNo,20205,form,No
5140c855504943841c35a2a4,,16282,question,responseOptionYes,20205,form,Yes
5140c9055049435fd73e4cc9,,16283,question,questionText,20205,form,What is the total number of hours worked?
5140c94b504943f7f94cfb2a,,16284,question,questionText,20205,form,How many fatalities were there for the given year?
5140c97a50494368fa25f113,,16285,question,questionText,20205,form,Total number of _cases_ with days away from work
5140c9c950494362c77c0ff4,,16286,question,questionText,20205,form,Total number of _days_ away from work
5140c9ff50494343fabfb579,,16287,question,questionText,20205,form,Total number of _cases_ with job transfer or restriction
5140ca2d504943129bdde879,,16288,question,questionText,20205,form,Total number of _days_ of job transfer or restriction
5140ca935049434db8badfba,,16289,question,questionText,20205,form,Total number of other recordable _cases_
5df7e8f6330000c041af2dbe,5ade3df02400007a0091c0e5,20205,questionGroup,questionGroupText,20205,form,Avetta Republic of South Africa Annual Update
5df3b1b0330000eb4994cbc3,,89534,question,questionText,20205,form,"### High Work Hours:\n\nAre your hours and/or employee count entered correctly? The total number of hours reported are considerably *HIGHER* than the average annual hours typically worked by full-time employees.\n\nPlease validate that you have entered your correct employee count and/or total hours. If correct, provide a brief explanation for approval (this will be visible to your client connections). Otherwise, please correct your answers."
5df3b1c0370000fe2dc8eabd,,89535,question,questionText,20205,form,"### Low Work Hours:\n\nAre your hours and/or employee count entered correctly? The total number of hours reported are considerably *LOWER* than the average annual hours typically worked by full-time and part-time employees.\n\nPlease validate that you have entered your correct employee count and/or total hours. If correct, provide a brief explanation for approval (this will be visible to your client connections). Otherwise, please correct your answers."
