#,Term,Form IDs,Full Form / Meaning,Category,Why Confusing for International Users,Localization Recommendation
1,QA/QC,40082,Quality Assurance / Quality Control,Organizational,Standard abbreviation with different meanings across industries and ISO vs construction contexts.,Define as Quality Assurance / Quality Control on first use; check industry-specific definitions in target language.
2,WIP,51137,Work In Progress,General,Used in accounting and project management; may be ambiguous if translator is unfamiliar with construction/manufacturing terminology.,Expand to Work In Progress and clarify it refers to incomplete projects in financial statements.
3,ÖNORM,Multiple Austrian forms,Austrian National Standards (Österreichisches Normungskomitee),Organizational,Austrian national standards body; country-specific; non-Austrian users may not recognize authority.,Explain as Austrian National Standards and link to ISO/EN equivalents where applicable.
4,NDT / NDE,51136,Nondestructive Testing / Nondestructive Evaluation,Technical,Engineering abbreviation; terms may have specific regulatory meanings in different jurisdictions.,Define both terms and clarify distinction in target language with examples.
5,LEL,51158,Lower Explosion Limit (also: Lower Explosive Limit),Technical,Critical safety threshold for hazardous atmospheres; term varies by standard (ATEX EU vs IEC vs NFPA).,Define precisely with reference to relevant standard; specify measurement units (% by volume or ppm).
6,SCBA,51168,Self-Contained Breathing Apparatus,Technical,Specialized hyperbaric/diving equipment; different equipment standards exist across EN / ISO / NFPA.,Define fully; clarify distinction from other respiratory protection equipment.
7,kp/cm²,51168,Kiloponds per square centimeter (unit of pressure),Technical,Austrian/Central European unit; most of the world uses bar or Pascal or PSI. Critical for hyperbaric safety limits.,Convert to universally recognized units (bar and Pa and PSI) with equivalencies shown.
8,m³/min,51152,Cubic meters per minute (volumetric airflow measurement),Technical,European volumetric unit; North America commonly uses CFM (cubic feet per minute).,Provide conversion; show both units for underground mining/ventilation specifications.
9,dBA,"51176, 51187",Decibels A-weighted (occupational noise measurement scale),Technical,Specific acoustic measurement scale; A-weighting defined by IEC 61672 but exposure limit thresholds differ by country.,Define as A-weighted decibels; explain why this scale is used for occupational noise assessment.
10,MAK,51163,Maximale Arbeitsplatz-Konzentration (Maximum Workplace Concentration – Austrian/German exposure limit),Technical,Austrian/German regulatory standard for airborne substance exposure; not comparable to OSHA PEL or other national limits.,Explain as Austrian/German occupational exposure limit and cross-reference to US/EU equivalents.
11,TRK,51163,Toleranzkonzentration (Threshold Concentration for Carcinogens – German standard),Technical,German/Austrian occupational standard for carcinogenic substance exposure; uniquely German; most countries use different carcinogen classification systems.,Define as German carcinogen threshold limit; cross-reference to IARC classification and target country standard.
12,CMR substances,51164,Carcinogenic Mutagenic or Reprotoxic substances (EU CLP classification),Technical,EU classification under CLP Regulation; regulatory approach and substance lists vary significantly by country.,Define each component; clarify regulatory framework (EU REACH/CLP) and note differences for target countries.
13,Quartz / Respirable Crystalline Silica,"51139, 51152",Silicon dioxide (SiO₂) – fine particles causing silicosis; classified occupational carcinogen,Technical,Exposure limits vary: Austria prohibits >2% quartz in abrasives; EU OEL 0.05 mg/m³; US OSHA 0.025 mg/m³.,Define particle size; provide applicable exposure limits for all target countries; specify measurement methods.
14,mSv,51171,Millisieverts – unit of ionizing radiation effective dose,Technical,International SI unit; critical for radiation safety limits which vary by national authority (1–20 mSv/year).,Define unit; provide regulatory context and note that annual dose limits vary by country.
15,Confined spaces,51141,Enclosed/partially enclosed spaces not designed for continuous occupancy with restricted entry/exit,Technical,Definition and permit categories vary internationally (OSHA: permit-required vs non-permit; EU varies by member state).,Provide definition from Austrian standard; clarify types (containers / pits / shafts) and required precautions.
16,Permit entry order,51141,Written authorization document required before entry into confined spaces (Austrian terminology),Procedural,Terminology varies: US OSHA uses permit-to-work; UK uses entry permit; other countries have different document names.,Explain as formal written work authorization document; clarify who issues it and what it must contain.
17,Labor inspectorate,"51139, 51148, 51164",Government occupational safety inspection authority (Arbeitsinspektorat in Austria),Organizational,Each country has a different name and structure: HSE (UK) / OSHA (US) / DGUV (Germany) / varies globally.,Identify the specific authority for target country; clarify notification requirements and responsibilities.
18,BGV,Implicit in multiple forms,Berufsgenossenschaftliche Vorschriften – German occupational accident insurance regulations,Organizational,German/Austrian system; most countries have entirely different occupational safety regulatory bodies and standards.,Clarify that BGV is German; identify Austrian equivalent (AUVA) and country equivalents for target languages.
19,Fall height,"51160, 51184",Vertical distance triggering mandatory fall protection (threshold varies by regulation),Technical,Austria: 1 m for walls/stairs / 2 m for workplaces; US OSHA: 4–6 ft (1.2–1.8 m) depending on sector; EU varies by member state.,Specify exact thresholds in meters for Austrian regulations and note significant variations in other countries.
20,Explosive atmospheres / ATEX,"51158, 51152",Mixtures of air and flammable substances that can ignite; governed by EU ATEX Directive 2014/34/EU,Regulatory,EU ATEX Directive defines zone classification; non-EU countries use different standards (IEC 60079 / NFPA 70E / national).,Define explosion zones (0/1/2/20/21/22); reference ATEX and note international equivalents for target country.
21,Abrasives,51139,Materials used for surface cleaning/preparation (sand / steel grit / garnet); silica content governs respiratory hazard,Technical,Quartz content rules vary: Austria prohibits >2% silica in blasting abrasives; EU and other countries have different limits.,Specify silica content regulations for target country; detail approved substitute abrasives (garnet / steel shot).
22,Excavation depth 1.25 m,51157,Austrian regulatory threshold below which protective measures become mandatory for excavations,Technical,Austria-specific threshold from Construction Workers Protection Ordinance; US uses 5 ft (1.5 m); EU varies by member state.,State specifically: in Austria excavations deeper than 1.25 m require protective measures; note other countries thresholds.
23,Geosphere heat warning level,51166,Austrian meteorological heat stress alert system (Levels 1–4) triggering occupational health interventions,Regulatory,Unique to Austria; most countries use heat index / wet bulb globe temperature / national weather service warnings.,Explain Austrian alert level system; provide equivalent heat stress criteria or indices for target countries.
24,Lock keeper,51168,Designated person controlling access to pressurized air or hyperbaric chamber (diving operations),Procedural,Role terminology varies: dive master / tender / supervisor in other countries; responsibilities and qualifications differ.,Define responsibilities and clarify qualifications and training required; note equivalent role in target country.
25,Hydrostatic testing,51168,Pressure vessel inspection method using water under pressure to verify structural integrity,Technical,Standard engineering test; procedures and mandatory frequency vary by jurisdiction and equipment type.,Define test purpose; specify pressure requirements and frequency per Austrian standard and note target country differences.
26,Diving team composition,51169,Minimum staffing for diving operations (2 divers and 2 support persons per Austrian standard),Procedural,Team composition requirements vary internationally: some countries require 3 divers; different support roles and qualifications.,State minimum requirements per Austrian diving regulations; note differences for target countries.
27,Signalperson (diving),51169,Dedicated communication operator maintaining contact with underwater diver during diving operations,Procedural,Role terminology varies: dive tender / surface attendant / topside operator; responsibilities and training differ.,Define role and communication responsibilities; clarify training requirements and equivalent role name in target country.
