"avettaId","mongoId","variantId","object","field","en","zh_CN"
"2","686e7c0101000039005a3b03","686e7c0101000039005a3b03~~~questionGroup~~~questionGroupText","questionGroup","questionGroupText","Manual Audit","手册审计"
"36546","629d5bb22f0000c32c5ac1b8","629d5bb22f0000c32c5ac1b8~~~questionGroup~~~questionGroupText","questionGroup","questionGroupText","Safety Manual Audit","安全手册审核"
"36547","629d5bc32f0000bceb6b595c","629d5bc32f0000bceb6b595c~~~questionGroup~~~questionGroupText","questionGroup","questionGroupText","Company Safety Details and Instructions","公司安全详情和说明"
"128050","629d5c642f0000c32c5adcdb","629d5c642f0000c32c5adcdb~~~question~~~questionText","question","questionText","A connected Client requires your Company to complete an Avetta Manual Audit.

Please answer the questions below, upload your Health and Safety Manual (including all procedures), review the requirements, and click SUBMIT when you are ready.

Once submitted, your documents will be audited by an Avetta Safety Professional to verify compliance with applicable requirements.","您已连接的客户要求贵公司完成 Avetta 手册审计。

请回答以下问题，上传您的健康和安全手册（包括所有程序），查看要求，并在准备就绪后点击“提交”。

提交后，您的文档将由 Avetta 安全专业人员审计，以检验是否符合适用的要求。"
"128050","629d5c642f0000c32c5adcdb","629d5c642f0000c32c5adcdb~~~question~~~description","question","description","NOTE: If you need to upload additional documents, please refer back to this section.","注意：如果您需要上传其他文档，请参阅本节。"
"127448","627c0f4e2e00002eb0f8b059","627c0f4e2e00002eb0f8b059~~~question~~~responseOption2","question","responseOption2","Abatement Lead","清除铅"
"127448","627c0f4e2e00002eb0f8b059","627c0f4e2e00002eb0f8b059~~~question~~~responseOption67","question","responseOption67","Roofing","屋顶"
"127448","627c0f4e2e00002eb0f8b059","627c0f4e2e00002eb0f8b059~~~question~~~questionText","question","questionText","###  Please Identify the Work Type(s) that align most closely with your specialty or scope of services.

<b>Selecting appropriate Work Types allows us to build a custom audit tailored to your Company's operations. </b>","### 请确定与您的专业或服务范围最密切相关的工作类型。

<b>选择适当的工作类型，以便我们为贵公司的业务定制审计方案。</b>"
"127448","627c0f4e2e00002eb0f8b059","627c0f4e2e00002eb0f8b059~~~question~~~responseOption68","question","responseOption68","Sandblasting","喷砂"
"127448","627c0f4e2e00002eb0f8b059","627c0f4e2e00002eb0f8b059~~~question~~~responseOption33","question","responseOption33","Fire Protection","消防"
"127448","627c0f4e2e00002eb0f8b059","627c0f4e2e00002eb0f8b059~~~question~~~responseOption42","question","responseOption42","Heavy Haul & Lift","重载和起重"
"127448","627c0f4e2e00002eb0f8b059","627c0f4e2e00002eb0f8b059~~~question~~~responseOption24","question","responseOption24","Electrical Work","电气工程"
"127448","627c0f4e2e00002eb0f8b059","627c0f4e2e00002eb0f8b059~~~question~~~responseOption11","question","responseOption11","Coatings","涂层"
"127448","627c0f4e2e00002eb0f8b059","627c0f4e2e00002eb0f8b059~~~question~~~responseOption70","question","responseOption70","Scaffolding","棚架"
"127448","627c0f4e2e00002eb0f8b059","627c0f4e2e00002eb0f8b059~~~question~~~responseOption55","question","responseOption55","Material Handling / Warehouse / Manufacturing","材料处理/仓库/制造"
"127448","627c0f4e2e00002eb0f8b059","627c0f4e2e00002eb0f8b059~~~question~~~responseOption61","question","responseOption61","Paint","喷涂"
"127448","627c0f4e2e00002eb0f8b059","627c0f4e2e00002eb0f8b059~~~question~~~responseOption74","question","responseOption74","Soil Remediation","土壤修复"
"127448","627c0f4e2e00002eb0f8b059","627c0f4e2e00002eb0f8b059~~~question~~~responseOption30","question","responseOption30","Extermination / Pest Control","灭绝/害虫防治"
"127448","627c0f4e2e00002eb0f8b059","627c0f4e2e00002eb0f8b059~~~question~~~responseOption92","question","responseOption92","Petroleum Downstream","石油下游行业"
"127448","627c0f4e2e00002eb0f8b059","627c0f4e2e00002eb0f8b059~~~question~~~responseOption75","question","responseOption75","Sonic Drilling","声波钻探"
"127448","627c0f4e2e00002eb0f8b059","627c0f4e2e00002eb0f8b059~~~question~~~responseOption52","question","responseOption52","Machine Repair / Installation / Maintenance","机器维修/安装/维护"
"127448","627c0f4e2e00002eb0f8b059","627c0f4e2e00002eb0f8b059~~~question~~~responseOption46","question","responseOption46","Hydro-Vac","液压真空"
"127448","627c0f4e2e00002eb0f8b059","627c0f4e2e00002eb0f8b059~~~question~~~responseOption76","question","responseOption76","Stack Erection & Maintenance","堆栈架设与维护"
"127448","627c0f4e2e00002eb0f8b059","627c0f4e2e00002eb0f8b059~~~question~~~responseOption64","question","responseOption64","Plumbing","水管工程"
"127448","627c0f4e2e00002eb0f8b059","627c0f4e2e00002eb0f8b059~~~question~~~responseOption25","question","responseOption25","Elevator Repair / Maintenance","电梯维修/维护"
"127448","627c0f4e2e00002eb0f8b059","627c0f4e2e00002eb0f8b059~~~question~~~responseOption51","question","responseOption51","Logistics Services - Packing and Shipping","物流服务 - 包装和运输"
"127448","627c0f4e2e00002eb0f8b059","627c0f4e2e00002eb0f8b059~~~question~~~responseOption60","question","responseOption60","Nondestructive Testing (NDT) & Nondestructive Evaluation (NDE)","无损检测（NDT）和无损评估（NDE）"
"127448","627c0f4e2e00002eb0f8b059","627c0f4e2e00002eb0f8b059~~~question~~~responseOption89","question","responseOption89","Wholesale Distribution / Retail Sales","批发分销/零售"
"127448","627c0f4e2e00002eb0f8b059","627c0f4e2e00002eb0f8b059~~~question~~~responseOption83","question","responseOption83","Transportation (Fleet / Haulers)","运输（车队/运输公司）"
"127448","627c0f4e2e00002eb0f8b059","627c0f4e2e00002eb0f8b059~~~question~~~responseOption17","question","responseOption17","Crane Rental Services & Maintenance","起重机租赁服务与维护"
"127448","627c0f4e2e00002eb0f8b059","627c0f4e2e00002eb0f8b059~~~question~~~responseOption29","question","responseOption29","Estimating","估算"
"127448","627c0f4e2e00002eb0f8b059","627c0f4e2e00002eb0f8b059~~~question~~~responseOption10","question","responseOption10","Carpentry","木工"
"127448","627c0f4e2e00002eb0f8b059","627c0f4e2e00002eb0f8b059~~~question~~~responseOption7","question","responseOption7","Building Construction - Drywall, Framing, Maintenance, Repair","建筑施工 - 干墙、框架、维护、修理"
"127448","627c0f4e2e00002eb0f8b059","627c0f4e2e00002eb0f8b059~~~question~~~responseOption62","question","responseOption62","Paving","铺砌"
"127448","627c0f4e2e00002eb0f8b059","627c0f4e2e00002eb0f8b059~~~question~~~responseOption34","question","responseOption34","Flooring Installation","地板安装"
