#,Term,Source Column,Full Form / Meaning,Category,Why Confusing for International Users,Localization Recommendation
1,BC OHS Regulation,Both,British Columbia Occupational Health and Safety Regulation - the primary provincial workplace safety law in BC,Regulatory,BC-specific provincial regulation; no equivalent by this name exists outside British Columbia. Non-Canadian users will not recognize the authority or citation format.,Identify as British Columbia primary OH&S law; reference equivalent national/regional regulation in target country.
2,WorkSafeBC,C,Workers Compensation Board of British Columbia - provincial agency enforcing OHS regulations and administering workers compensation,Organizational,Unique to British Columbia; other provinces have different bodies (WSIB in Ontario / WCB in Alberta). Non-Canadian users will not recognize the authority.,Explain as BC occupational safety enforcement and workers compensation body; identify equivalent authority for target country.
3,WHMIS,C,Workplace Hazardous Materials Information System - Canada national hazard communication standard for workplace chemicals,Regulatory,Canada-specific system (aligned with GHS since WHMIS 2015); called GHS or HazCom in other countries. The term itself is unrecognizable outside Canada.,Define as Canada chemical hazard communication system; explain as equivalent to GHS/HazCom; note SDS and labeling requirements.
4,CSA,C,Canadian Standards Association - Canada primary national standards development organization,Organizational,CSA standards (e.g. CSA Z94.4 for respirators / CSA Z107.56 for noise) are referenced throughout but are Canadian-specific. International users may use EN / ISO / ANSI / AS equivalents.,Identify CSA as Canada national standards body; cross-reference ISO/EN equivalent standard where available.
5,GFCI,B,Ground Fault Circuit Interrupter - electrical safety device that cuts power when current leakage is detected,Technical,North American term; called RCD (Residual Current Device) in UK/Europe/Australia or ELCB (Earth Leakage Circuit Breaker) in some Asian countries. Different trip thresholds apply.,Define as Ground Fault Circuit Interrupter; note it is called RCD or ELCB in other regions; specify trip current threshold (typically 5 mA in North America).
6,IDLH,B,Immediately Dangerous to Life or Health - concentration of airborne contaminant posing immediate risk to life or causing irreversible health effects,Technical,US NIOSH/OSHA term; equivalent concept exists internationally but under different names and threshold values. Not universally recognized outside North America.,Define as the maximum concentration from which a worker could escape without injury; cross-reference national exposure limit standard in target country.
7,MSI,Both,"Musculoskeletal Injury - injuries affecting muscles, tendons, ligaments, joints, nerves, or blood vessels from workplace physical demands",Technical,BC-specific terminology for what other jurisdictions call MSD (Musculoskeletal Disorder) / RSI (Repetitive Strain Injury) / or WRMSDs (Work-Related Musculoskeletal Disorders).,Define as workplace injury to muscles tendons or joints; note equivalent terms: MSD (US/EU) / RSI (UK/Australia) / WMSD in target language context.
8,ACGIH,C,American Conference of Governmental Industrial Hygienists - US-based body publishing TLVs (Threshold Limit Values) for occupational exposures,Organizational,US organization whose TLV exposure limits are referenced in BC regulations but are not legal standards in most non-North American countries.,Identify ACGIH as the US body setting TLVs; note that BC adopts ACGIH TLVs by reference; reference equivalent occupational exposure limits in target country.
9,TLV,C,Threshold Limit Value - ACGIH occupational exposure guideline for airborne hazardous substances (expressed as TWA / STEL / or Ceiling),Technical,US ACGIH guideline adopted by BC regulation; other countries use OEL (EU) / MEL/WEL (UK) / MAK (Germany/Austria) / or national PELs. Values differ between systems.,Define as ACGIH occupational exposure guideline; note BC adopts TLVs legally; cross-reference OEL or WEL or MAK for target country.
10,STEL,C,Short-Term Exposure Limit - maximum airborne concentration allowed for a 15-minute period without causing acute harm,Technical,Standard occupational hygiene term; 15-minute reference period is consistent globally but threshold values differ by substance and national standard.,Define as 15-minute short-term exposure limit; specify that values are substance-specific and set by ACGIH TLVs in BC.
11,WLL,B,Working Load Limit - the maximum mass a piece of rigging lifting or load-bearing equipment is rated to safely carry,Technical,Term is used in BC but the concept is called SWL (Safe Working Load) in many countries (UK / Australia / EU). Calculation methods and certification requirements differ.,Define as maximum rated load capacity; note it is equivalent to SWL (Safe Working Load) used in UK / EU / and Australia.
12,H2S,B,Hydrogen Sulfide - toxic and flammable gas produced in oil/gas / mining / and wastewater operations,Technical,Chemical formula is universally understood but regulatory exposure limits differ: BC uses ACGIH TLV of 1 ppm TWA; OSHA PEL is 20 ppm; EU OEL is 1 ppm.,Define as Hydrogen Sulfide; state applicable exposure limit (ACGIH TLV 1 ppm TWA in BC); note life-threatening toxicity.
13,ECP,B,Exposure Control Plan - documented program identifying hazards / exposure risks / and control measures for workplace biological or chemical hazards,Technical,BC-specific regulatory term; equivalent documents are called COSHH (UK) / RSST plan (Quebec) / or Risk Management Plan in other jurisdictions.,Define as documented plan identifying hazardous exposures and controls; identify equivalent document name in target country.
14,Faller,B,Certified Faller - BC-specific licensed worker qualified to fell trees using chainsaws under BC forest industry safety certification system,Procedural,Term and certification are specific to BC/Canadian forest industry. Called chainsaw operator / tree feller / or lumberjack in other countries with different qualification systems.,Define as a BC-certified tree-felling specialist; clarify that BC requires mandatory certification (BC Faller Training Standard); identify equivalent in target country.
15,Arborist,B,Qualified Arborist - specialist in tree care / pruning / and climbing certified under ISA (International Society of Arboriculture) or equivalent,Procedural,Term is used globally but certification bodies differ (ISA globally / Arboriculture Australia / Lantra in UK). BC references to qualified arborist require specific competency proof.,Define as a certified tree care specialist; clarify required certification (ISA Certified Arborist or equivalent approved by WorkSafeBC).
16,Rope access,B,Rope access system - method of working at height using ropes and specialized equipment instead of scaffolding or aerial platforms,Technical,Certification bodies differ: IRATA (International Rope Access Trade Association) in EU/internationally; SPRAT (Society of Professional Rope Access Technicians) in North America.,Define as a height access system using ropes; specify required written plan contents; identify IRATA/SPRAT certification context.
17,Raise climber,B,Raise Climber - specialized underground mining machine used to drill vertical or inclined shafts (raises) in hard rock mining,Technical,Term is specific to Canadian hard rock mining; not used in most other countries or mining traditions. Equipment type and safety inspection requirements are BC-specific.,Define as a machine for excavating vertical mine shafts; note BC-specific daily/weekly inspection requirement under BC OHS Regulation Part 22.
18,Joint committee,B,Joint Occupational Health and Safety Committee - mandatory worker/employer safety committee required by BC law for workplaces with 20 or more workers,Procedural,BC name for what other countries call JHSC / safety committee / or works council. Composition and meeting frequency requirements differ.,Define as mandatory joint worker-employer safety committee; clarify BC threshold (20+ workers) and monthly meeting requirement; identify equivalent body in target country.
19,Right to refuse unsafe work,B,Legal right of BC workers under the Workers Compensation Act to refuse work they reasonably believe poses undue hazard to health or safety,Regulatory,Right exists in many jurisdictions but procedures for exercising refusal / investigation steps / and protection from reprisal vary significantly by country.,Define as a BC statutory right; outline the investigation procedure steps; note equivalent right in target country labour law.
20,Certified Blaster,B,Worker holding a valid blasting certificate issued by WorkSafeBC / legally required to conduct or direct all blasting operations in BC,Procedural,BC-specific certification system; other countries have different licensing bodies (US: ATF/state / UK: ShotBlaster certification / Australia: state-based licensing).,Define as a WorkSafeBC-licensed explosives specialist; clarify BC requirement that all blasting must be supervised by a certified blaster; identify equivalent license in target country.
21,Blasting log,B,Mandatory written record of pre-blast conditions and post-blast site status required under BC OHS Regulation; retained minimum 5 years,Procedural,BC-specific documentation requirement; record format / retention period / and required content differ from other jurisdictions.,Define as mandatory blasting record; specify 5-year retention and required content per BC OHS Regulation Part 21.
22,Lockout / LOTO,C,Lockout/Tagout - energy isolation procedure using physical locks and tags to prevent accidental re-energization of equipment during maintenance,Technical,Concept is global but called LOTO (Lock-Out/Tag-Out) in the US / Isolation in Australia/NZ / or Lock-Off in the UK. BC specifies group lockout and personal lock requirements.,Define as energy isolation using physical locks; note BC requires personal lock control and group lockout for multi-worker tasks; identify equivalent procedure in target country.
23,Limits of Approach,B,Minimum safe working distances from energized high-voltage electrical conductors / set by BC OHS Regulation to prevent arc flash or contact,Technical,BC-specific regulatory distances (BC OHS Regulation Part 19 Table 19-1); approach distance thresholds differ by voltage level and by national electrical standards (NFPA 70E / IEC / etc.).,Define as minimum required distance from live electrical lines; state that distances are voltage-dependent per BC OHS Regulation Table 19-1; identify equivalent standard in target country.
24,Sloping / Shoring / Benching,B,Excavation protective systems: sloping = angled cut; shoring = structural support; benching = stepped cuts - BC specifies methods by soil type,Technical,Required method depends on soil classification and depth; BC uses soil Type 1-4 which differs from US OSHA Type A/B/C classification.,Define each method; clarify BC soil type classification system; note difference from OSHA Type A/B/C classification used in US.
25,Blowout prevention equipment,B,BOP - mechanical device installed on oil/gas wells to seal the wellbore and prevent uncontrolled release of formation fluids,Technical,Highly specialized oil/gas drilling term; design standards (API 16A/53) / pressure ratings / and testing requirements set by international petroleum industry standards.,Define as emergency pressure control equipment for oil/gas wells; reference API standard 16A/53; note this applies only to oil and gas drilling operations.
26,Decompression procedures,B,Controlled ascent protocol used in diving and hyperbaric work to prevent decompression sickness by allowing dissolved gases to exit safely,Technical,Dive tables and decompression algorithms vary (US Navy tables / DCIEM / PADI/recreational limits); BC uses specific pressurized work regulations.,Define as mandatory ascent/pressure reduction protocol; reference BC OHS Regulation Part 24 and DCIEM tables used in Canada.
27,dBC,B,Decibels C-weighted - sound measurement scale used for peak noise levels (e.g. impact noise); complements dBA for hearing conservation,Technical,Less commonly known than dBA; BC specifies 140 dBC peak limit; other countries may use different peak measurement scales or thresholds.,Define as C-weighted decibel scale for peak impulse noise; state BC limit (140 dBC peak); explain difference from dBA used for continuous noise.
28,SAR,B,Supplied-Air Respirator - respiratory protection device that delivers clean breathing air from a remote source via hose,Technical,Distinct from SCBA; performance standards differ between CSA (Canada) / NIOSH (US) / and EN 14594 (EU); required for IDLH atmospheres in BC.,Define as airline respirator supplying breathing air from a remote compressor; distinguish from SCBA; reference CSA Z94.4 and note NIOSH/EN equivalents.
29,ANSI/ISO vibration standards,C,ANSI S2.70 / ISO 2631-1 - standards for measuring and evaluating human whole-body vibration exposure,Technical,BC references both US ANSI and international ISO standards; EU Directive 2002/44/EC uses different action/limit values.,Identify ANSI S2.70 as US standard and ISO 2631-1 as international; note BC uses both for vibration assessment; reference EU Directive 2002/44/EC limits for European target countries.
30,Heated shelters threshold -7C,B,BC regulatory requirement to provide heated rest shelters when outdoor temperatures fall below -7 degrees Celsius for cold weather work,Regulatory,Temperature threshold is BC/Canadian specific; other countries use different trigger temperatures or have no specific heated shelter requirement.,State threshold as -7 degrees C (19 degrees F); explain this is a BC-specific cold weather protection requirement; identify equivalent cold stress provisions in target country.
31,Hepatitis B vaccination offer,C,Obligation under BC OHS Regulation Part 6 for employers to offer hepatitis B vaccination at no cost to workers at risk of biological exposure,Regulatory,Vaccination offer obligation is BC-specific; other countries have different obligations under different regulatory frameworks (OSHA Bloodborne Pathogen Standard in US / EU Directive 2000/54/EC).,Define as employer-funded vaccination obligation; reference equivalent bloodborne pathogen protection requirement in target country.
32,Radio Frequency RF minimum distances,B,Minimum safe separation distances from RF transmitters when using electric or electronic detonators during blasting operations,Technical,Distances are defined in BC OHS Regulation Part 21 based on transmitter power; different standards apply in other countries (EU EN 13763 / US ISEE); RF frequency bands also differ.,Define as safety buffer distances from radio transmitters during blasting; reference BC OHS Regulation Part 21 table; identify equivalent standard for target country.
33,Critical lift plan,B,Documented written plan required for crane lifts meeting specific risk criteria (near capacity / multiple cranes / over workers),Technical,Term is used in North America; called engineered lift plan or complex lift plan in other countries; trigger criteria and required plan contents differ by jurisdiction and crane standard.,Define as a mandatory written plan for high-risk crane operations; specify BC trigger criteria; identify equivalent planning requirement in target country.
34,Rigger / Rigging,C,Rigging: hardware and technique for attaching loads to cranes/hoists. Rigger: qualified worker certified to attach loads for lifting operations,Technical,Rigging qualification requirements differ: BC requires qualified rigger familiar with standard hand signals; other countries have different certification bodies (LEEA in UK / ASME B30.9 in US).,Define rigging as the hardware and method for attaching loads; define rigger as the qualified specialist; reference LEEA/ASME equivalent in target country.
35,Entry permit confined space,B,Signed written authorization document completed before each entry into a high-hazard confined space under BC OHS Regulation,Procedural,Terminology varies: work permit / confined space entry permit / authorization to enter; required signatories and content differ by jurisdiction.,Define as the required written authorization before confined space entry; specify BC requirements for content (hazards / controls / rescue); identify equivalent permit in target country.
36,Worker health and safety representative,B,Single worker-elected safety representative required by BC law for workplaces with 10 to 19 workers (below joint committee threshold),Procedural,BC-specific role; other jurisdictions use different titles and thresholds: safety officer / health and safety rep (UK) / delegue du personnel (France); minimum workforce size trigger differs.,Define as a worker-elected safety liaison for smaller BC workplaces (10-19 workers); identify equivalent worker representation role in target country.
37,Blasting signals,B,Mandatory audible warning sounds (siren/horn pattern) required before and after blasting to alert workers to evacuate and return,Procedural,Signal patterns (number of blasts / duration) are specified in BC OHS Regulation Part 21; patterns may differ from other jurisdictions or industry practices.,Define as mandatory warning sounds before and after detonation; specify BC signal pattern requirements; note that patterns may differ from target country standards.
38,Fall protection 3 meters threshold,B,BC regulatory trigger height of 3 meters at which fall protection becomes mandatory for most general industry work,Technical,BC-specific 3-meter (approx 10 ft) threshold; US OSHA uses 4 ft (1.2 m) for general industry / 6 ft (1.8 m) for construction; EU and other countries vary.,State BC threshold as 3 meters; note this differs from US OSHA (1.2-1.8 m) and EU standards; clarify equivalent trigger height in target country.
39,Signaller / Signallers,B,Worker designated to give standardized hand or communication signals to crane/equipment operators during lifting or aircraft operations,Procedural,BC requires use of internationally recognized signals and high-visibility apparel; terminology (signaller vs signalman vs banksman) and signal standards differ by country.,Define as the designated worker giving lift/movement signals; clarify BC requirement for internationally recognized signals and high-visibility clothing; note banksman is the UK equivalent term.
,,,,,,
# NOTE: The following terms were excluded because they already exist in AvettaGlossary.xlsx (col M de_de / col AA en_us):,,,,,,
# OHS | SDS | HEPA | TWA | Fall arrest system | Hot work permit | Vibration exposure limits,,,,,,
